"state_alpha","GEOID","crop","yield_prediction","drought_prediction"
"KS","20191","SOYBEANS",1,1
"KS","20191","WHEAT",1,1
"MI","26151","CORN",1,NA
"MI","26151","OATS",1,1
"MI","26151","SOYBEANS",1,1
"MI","26151","SUGARBEETS",1,NA
"MI","26151","WHEAT",1,NA
"MI","26157","CORN",1,1
"MI","26157","OATS",1,1
"MI","26157","SOYBEANS",1,1
"MI","26157","SUGARBEETS",1,NA
"MI","26157","WHEAT",1,NA
"MO","29143","CORN",1,NA
"MO","29143","COTTON",1,1
"MO","29143","SORGHUM",1,1
"MO","29143","SOYBEANS",1,1
"MO","29143","WHEAT",1,NA
"NE","31067","CORN",1,1
"NE","31067","OATS",1,1
"NE","31067","SORGHUM",1,1
"NE","31067","SOYBEANS",1,1
"NE","31067","WHEAT",1,1
"NC","37015","CORN",1,1
"NC","37015","COTTON",1,1
"NC","37015","PEANUTS",1,1
"NC","37015","SOYBEANS",1,1
"NC","37015","WHEAT",1,NA
"NC","37041","CORN",1,1
"NC","37041","COTTON",1,NA
"NC","37041","PEANUTS",1,NA
"NC","37041","SOYBEANS",1,1
"NC","37041","WHEAT",1,NA
"NC","37047","CORN",1,1
"NC","37047","COTTON",1,1
"NC","37047","PEANUTS",1,1
"NC","37047","SOYBEANS",1,1
"NC","37047","WHEAT",1,1
"NC","37065","CORN",1,1
"NC","37065","COTTON",1,1
"NC","37065","PEANUTS",1,1
"NC","37065","SOYBEANS",1,1
"NC","37065","WHEAT",1,NA
"NC","37073","CORN",1,1
"NC","37073","COTTON",1,1
"NC","37073","PEANUTS",1,1
"NC","37073","SOYBEANS",1,1
"NC","37073","WHEAT",1,NA
"NC","37083","CORN",1,1
"NC","37083","COTTON",1,1
"NC","37083","PEANUTS",1,1
"NC","37083","SOYBEANS",1,1
"NC","37083","WHEAT",1,1
"NC","37117","CORN",1,1
"NC","37117","COTTON",1,1
"NC","37117","PEANUTS",1,1
"NC","37117","SOYBEANS",1,1
"NC","37117","WHEAT",1,NA
"NC","37131","CORN",1,1
"NC","37131","COTTON",1,1
"NC","37131","PEANUTS",1,1
"NC","37131","SOYBEANS",1,1
"NC","37131","WHEAT",1,NA
"NC","37143","CORN",1,1
"NC","37143","COTTON",1,1
"NC","37143","PEANUTS",1,NA
"NC","37143","SOYBEANS",1,1
"NC","37143","WHEAT",1,NA
"NC","37147","CORN",1,1
"NC","37147","COTTON",1,1
"NC","37147","PEANUTS",1,1
"NC","37147","SOYBEANS",1,1
"NC","37147","WHEAT",1,NA
"NC","37155","CORN",1,1
"NC","37155","COTTON",1,1
"NC","37155","PEANUTS",1,1
"NC","37155","SOYBEANS",1,1
"NC","37155","WHEAT",1,NA
"SC","45009","CORN",1,1
"SC","45009","COTTON",1,1
"SC","45009","PEANUTS",1,NA
"SC","45009","SOYBEANS",1,1
"SC","45009","WHEAT",1,NA
"SC","45031","CORN",1,1
"SC","45031","COTTON",1,1
"SC","45031","PEANUTS",1,NA
"SC","45031","SOYBEANS",1,1
"SC","45031","WHEAT",1,NA
"SC","45041","CORN",1,1
"SC","45041","COTTON",1,1
"SC","45041","PEANUTS",1,1
"SC","45041","SOYBEANS",1,1
"SC","45041","WHEAT",1,NA
"SC","45049","CORN",1,1
"SC","45049","COTTON",1,1
"SC","45049","PEANUTS",1,NA
"SC","45049","SOYBEANS",1,NA
"SC","45049","WHEAT",1,1
"SC","45051","CORN",1,1
"SC","45051","COTTON",1,1
"SC","45051","PEANUTS",1,1
"SC","45051","SOYBEANS",1,1
"SC","45051","WHEAT",1,1
"SC","45075","CORN",1,1
"SC","45075","COTTON",1,1
"SC","45075","PEANUTS",1,NA
"SC","45075","SOYBEANS",1,1
"SC","45075","WHEAT",1,NA
"SD","46065","CORN",1,1
"SD","46065","OATS",1,1
"SD","46065","SORGHUM",1,1
"SD","46065","SOYBEANS",1,1
"SD","46065","WHEAT",1,1
"SD","46123","CORN",1,1
"SD","46123","OATS",1,1
"SD","46123","SORGHUM",1,1
"SD","46123","SOYBEANS",1,1
"SD","46123","WHEAT",1,1
"TX","48027","CORN",1,1
"TX","48027","COTTON",1,1
"TX","48027","OATS",1,1
"TX","48027","SORGHUM",1,1
"TX","48027","WHEAT",1,1
"TX","48309","CORN",1,1
"TX","48309","COTTON",1,1
"TX","48309","OATS",1,1
"TX","48309","SORGHUM",1,1
"TX","48309","WHEAT",1,1
"TX","48325","CORN",1,1
"TX","48325","COTTON",1,1
"TX","48325","OATS",1,1
"TX","48325","SORGHUM",1,1
"TX","48325","WHEAT",1,1
"TX","48331","CORN",1,1
"TX","48331","COTTON",1,1
"TX","48331","OATS",1,1
"TX","48331","SORGHUM",1,1
"TX","48331","WHEAT",1,1
"TX","48463","CORN",1,1
"TX","48463","COTTON",1,1
"TX","48463","OATS",1,1
"TX","48463","SORGHUM",1,1
"TX","48463","WHEAT",1,1
"VA","51081","CORN",1,1
"VA","51081","COTTON",1,1
"VA","51081","PEANUTS",1,1
"VA","51081","SOYBEANS",1,1
"VA","51081","WHEAT",1,NA
"VA","51093","CORN",1,1
"VA","51093","COTTON",1,1
"VA","51093","PEANUTS",1,1
"VA","51093","SOYBEANS",1,1
"VA","51093","WHEAT",1,NA
"VA","51175","CORN",1,1
"VA","51175","COTTON",1,1
"VA","51175","PEANUTS",1,1
"VA","51175","SOYBEANS",1,1
"VA","51175","WHEAT",1,1
"VA","51183","CORN",1,1
"VA","51183","COTTON",1,1
"VA","51183","PEANUTS",1,1
"VA","51183","SOYBEANS",1,1
"VA","51183","WHEAT",1,1
"VA","51800","CORN",1,1
"VA","51800","COTTON",1,1
"VA","51800","PEANUTS",1,1
"VA","51800","SOYBEANS",1,1
"VA","51800","WHEAT",1,NA
"CO","08123","BARLEY",1,NA
"CO","08123","CORN",1,NA
"CO","08123","SUGARBEETS",1,NA
"CO","08123","WHEAT",1,1
"ID","16027","BARLEY",1,NA
"ID","16027","CORN",1,NA
"ID","16027","SUGARBEETS",1,NA
"ID","16027","WHEAT",1,NA
"MD","24013","BARLEY",1,NA
"MD","24013","CORN",1,1
"MD","24013","SOYBEANS",1,1
"MD","24013","WHEAT",1,NA
"MD","24019","BARLEY",1,NA
"MD","24019","CORN",1,1
"MD","24019","SOYBEANS",1,1
"MD","24019","WHEAT",1,NA
"MD","24021","BARLEY",1,NA
"MD","24021","CORN",1,1
"MD","24021","SOYBEANS",1,1
"MD","24021","WHEAT",1,NA
"MD","24043","BARLEY",1,NA
"MD","24043","CORN",1,1
"MD","24043","SOYBEANS",1,1
"MD","24043","WHEAT",1,NA
"MN","27089","BARLEY",1,NA
"MN","27089","CORN",1,1
"MN","27089","SOYBEANS",1,1
"MN","27089","SUGARBEETS",1,NA
"MN","27107","BARLEY",1,NA
"MN","27107","CORN",1,1
"MN","27107","SOYBEANS",1,1
"MN","27107","SUGARBEETS",1,NA
"MN","27119","BARLEY",1,1
"MN","27119","CORN",1,1
"MN","27119","SOYBEANS",1,1
"MN","27119","SUGARBEETS",1,NA
"MT","30003","BARLEY",1,1
"MT","30003","OATS",1,1
"MT","30003","SUGARBEETS",1,NA
"MT","30003","WHEAT",1,1
"MT","30009","BARLEY",1,1
"MT","30009","CORN",1,1
"MT","30009","SUGARBEETS",1,NA
"MT","30009","WHEAT",1,1
"MT","30111","BARLEY",1,1
"MT","30111","CORN",1,1
"MT","30111","SUGARBEETS",1,NA
"MT","30111","WHEAT",1,1
"ND","38003","BARLEY",1,NA
"ND","38003","CORN",1,1
"ND","38003","OATS",1,1
"ND","38003","SOYBEANS",1,1
"ND","38005","BARLEY",1,1
"ND","38005","CORN",1,1
"ND","38005","OATS",1,1
"ND","38005","SOYBEANS",1,1
"ND","38015","BARLEY",1,1
"ND","38015","CORN",1,1
"ND","38015","OATS",1,1
"ND","38015","SOYBEANS",1,1
"ND","38029","BARLEY",1,1
"ND","38029","CORN",1,1
"ND","38029","SOYBEANS",1,1
"ND","38029","WHEAT",1,1
"ND","38035","BARLEY",1,NA
"ND","38035","CORN",1,1
"ND","38035","SOYBEANS",1,1
"ND","38035","SUGARBEETS",1,NA
"ND","38043","BARLEY",1,1
"ND","38043","CORN",1,1
"ND","38043","OATS",1,1
"ND","38043","SOYBEANS",1,1
"ND","38049","BARLEY",1,1
"ND","38049","CORN",1,1
"ND","38049","OATS",1,1
"ND","38049","SOYBEANS",1,1
"ND","38067","BARLEY",1,1
"ND","38067","CORN",1,1
"ND","38067","SOYBEANS",1,1
"ND","38067","SUGARBEETS",1,NA
"ND","38079","BARLEY",1,1
"ND","38079","CORN",1,1
"ND","38079","OATS",1,1
"ND","38079","SOYBEANS",1,1
"ND","38093","BARLEY",1,1
"ND","38093","CORN",1,1
"ND","38093","OATS",1,1
"ND","38093","SOYBEANS",1,1
"ND","38097","BARLEY",1,NA
"ND","38097","CORN",1,1
"ND","38097","SOYBEANS",1,1
"ND","38097","SUGARBEETS",1,NA
"ND","38099","BARLEY",1,1
"ND","38099","CORN",1,1
"ND","38099","SOYBEANS",1,1
"ND","38099","SUGARBEETS",1,NA
"ND","38103","BARLEY",1,NA
"ND","38103","CORN",1,1
"ND","38103","OATS",1,1
"ND","38103","SOYBEANS",1,1
"PA","42071","BARLEY",1,NA
"PA","42071","CORN",1,1
"PA","42071","SOYBEANS",1,1
"PA","42071","WHEAT",1,NA
"PA","42075","BARLEY",1,NA
"PA","42075","CORN",1,1
"PA","42075","SOYBEANS",1,1
"PA","42075","WHEAT",1,NA
"VA","51007","BARLEY",1,NA
"VA","51007","CORN",1,1
"VA","51007","SOYBEANS",1,1
"VA","51007","WHEAT",1,1
"VA","51047","BARLEY",1,NA
"VA","51047","CORN",1,1
"VA","51047","SOYBEANS",1,1
"VA","51047","WHEAT",1,1
"VA","51061","BARLEY",1,NA
"VA","51061","CORN",1,1
"VA","51061","SOYBEANS",1,1
"VA","51061","WHEAT",1,NA
"VA","51137","BARLEY",1,NA
"VA","51137","CORN",1,1
"VA","51137","SOYBEANS",1,1
"VA","51137","WHEAT",1,1
"VA","51165","BARLEY",1,1
"VA","51165","CORN",1,1
"VA","51165","SOYBEANS",1,1
"VA","51165","WHEAT",1,NA
"AL","01003","CORN",1,1
"AL","01003","COTTON",1,1
"AL","01003","PEANUTS",1,1
"AL","01003","SOYBEANS",1,1
"AL","01053","CORN",1,1
"AL","01053","COTTON",1,1
"AL","01053","PEANUTS",1,1
"AL","01053","SOYBEANS",1,1
"AL","01069","CORN",1,1
"AL","01069","COTTON",1,1
"AL","01069","PEANUTS",1,1
"AL","01069","SOYBEANS",1,1
"AR","05003","CORN",1,NA
"AR","05003","COTTON",1,NA
"AR","05003","SOYBEANS",1,1
"AR","05003","WHEAT",1,NA
"AR","05021","CORN",1,NA
"AR","05021","COTTON",1,NA
"AR","05021","SOYBEANS",1,NA
"AR","05021","WHEAT",1,NA
"AR","05031","CORN",1,NA
"AR","05031","COTTON",1,NA
"AR","05031","SOYBEANS",1,NA
"AR","05031","WHEAT",1,NA
"AR","05041","CORN",1,NA
"AR","05041","COTTON",1,NA
"AR","05041","SOYBEANS",1,1
"AR","05041","WHEAT",1,NA
"AR","05069","CORN",1,1
"AR","05069","COTTON",1,NA
"AR","05069","SOYBEANS",1,1
"AR","05069","WHEAT",1,NA
"AR","05079","CORN",1,NA
"AR","05079","COTTON",1,NA
"AR","05079","SOYBEANS",1,NA
"AR","05079","WHEAT",1,NA
"AR","05095","CORN",1,NA
"AR","05095","COTTON",1,NA
"AR","05095","SOYBEANS",1,1
"AR","05095","WHEAT",1,NA
"AR","05107","CORN",1,1
"AR","05107","COTTON",1,1
"AR","05107","SOYBEANS",1,1
"AR","05107","WHEAT",1,1
"AR","05111","CORN",1,NA
"AR","05111","COTTON",1,NA
"AR","05111","SOYBEANS",1,NA
"AR","05111","WHEAT",1,NA
"AR","05123","CORN",1,1
"AR","05123","COTTON",1,NA
"AR","05123","SOYBEANS",1,1
"AR","05123","WHEAT",1,NA
"GA","13001","CORN",1,1
"GA","13001","COTTON",1,1
"GA","13001","PEANUTS",1,1
"GA","13001","SOYBEANS",1,1
"GA","13027","CORN",1,1
"GA","13027","COTTON",1,1
"GA","13027","PEANUTS",1,NA
"GA","13027","SOYBEANS",1,1
"GA","13107","CORN",1,1
"GA","13107","COTTON",1,1
"GA","13107","PEANUTS",1,1
"GA","13107","SOYBEANS",1,1
"GA","13131","CORN",1,1
"GA","13131","COTTON",1,1
"GA","13131","PEANUTS",1,1
"GA","13131","SOYBEANS",1,1
"GA","13165","CORN",1,1
"GA","13165","COTTON",1,1
"GA","13165","PEANUTS",1,1
"GA","13165","SOYBEANS",1,1
"GA","13193","CORN",1,1
"GA","13193","COTTON",1,1
"GA","13193","SOYBEANS",1,1
"GA","13193","WHEAT",1,1
"GA","13253","CORN",1,1
"GA","13253","COTTON",1,1
"GA","13253","PEANUTS",1,1
"GA","13253","WHEAT",1,NA
"GA","13275","CORN",1,1
"GA","13275","COTTON",1,1
"GA","13275","PEANUTS",1,NA
"GA","13275","SOYBEANS",1,1
"GA","13277","CORN",1,1
"GA","13277","COTTON",1,1
"GA","13277","PEANUTS",1,1
"GA","13277","WHEAT",1,NA
"IL","17037","CORN",1,1
"IL","17037","OATS",1,NA
"IL","17037","SOYBEANS",1,1
"IL","17037","WHEAT",1,NA
"IL","17073","CORN",1,1
"IL","17073","OATS",1,1
"IL","17073","SOYBEANS",1,1
"IL","17073","WHEAT",1,NA
"IL","17177","CORN",1,1
"IL","17177","OATS",1,NA
"IL","17177","SOYBEANS",1,1
"IL","17177","WHEAT",1,NA
"IL","17191","CORN",1,1
"IL","17191","SORGHUM",1,1
"IL","17191","SOYBEANS",1,1
"IL","17191","WHEAT",1,NA
"IL","17201","CORN",1,1
"IL","17201","OATS",1,NA
"IL","17201","SOYBEANS",1,1
"IL","17201","WHEAT",1,1
"KS","20009","CORN",1,1
"KS","20009","SORGHUM",1,1
"KS","20009","SOYBEANS",1,1
"KS","20009","WHEAT",1,1
"KS","20015","CORN",1,1
"KS","20015","SORGHUM",1,1
"KS","20015","SOYBEANS",1,1
"KS","20015","WHEAT",1,1
"KS","20023","CORN",1,1
"KS","20023","SORGHUM",1,1
"KS","20023","SOYBEANS",1,1
"KS","20023","WHEAT",1,1
"KS","20027","CORN",1,1
"KS","20027","SORGHUM",1,1
"KS","20027","SOYBEANS",1,1
"KS","20027","WHEAT",1,1
"KS","20029","CORN",1,1
"KS","20029","SORGHUM",1,1
"KS","20029","SOYBEANS",1,1
"KS","20029","WHEAT",1,1
"KS","20035","CORN",1,1
"KS","20035","SORGHUM",1,1
"KS","20035","SOYBEANS",1,1
"KS","20035","WHEAT",1,1
"KS","20041","CORN",1,1
"KS","20041","SORGHUM",1,1
"KS","20041","SOYBEANS",1,1
"KS","20041","WHEAT",1,1
"KS","20047","CORN",1,1
"KS","20047","SORGHUM",1,1
"KS","20047","SOYBEANS",1,1
"KS","20047","WHEAT",1,1
"KS","20061","CORN",1,1
"KS","20061","SORGHUM",1,1
"KS","20061","SOYBEANS",1,1
"KS","20061","WHEAT",1,1
"KS","20069","CORN",1,1
"KS","20069","SORGHUM",1,1
"KS","20069","SOYBEANS",1,1
"KS","20069","WHEAT",1,1
"KS","20073","CORN",1,1
"KS","20073","SORGHUM",1,1
"KS","20073","SOYBEANS",1,1
"KS","20073","WHEAT",1,NA
"KS","20079","CORN",1,1
"KS","20079","SORGHUM",1,1
"KS","20079","SOYBEANS",1,1
"KS","20079","WHEAT",1,1
"KS","20081","CORN",1,1
"KS","20081","SORGHUM",1,1
"KS","20081","SOYBEANS",1,1
"KS","20081","WHEAT",1,1
"KS","20089","CORN",1,1
"KS","20089","SORGHUM",1,1
"KS","20089","SOYBEANS",1,1
"KS","20089","WHEAT",1,1
"KS","20095","CORN",1,1
"KS","20095","SORGHUM",1,1
"KS","20095","SOYBEANS",1,1
"KS","20095","WHEAT",1,1
"KS","20099","CORN",1,1
"KS","20099","SORGHUM",1,1
"KS","20099","SOYBEANS",1,1
"KS","20099","WHEAT",1,NA
"KS","20105","CORN",1,1
"KS","20105","SORGHUM",1,1
"KS","20105","SOYBEANS",1,1
"KS","20105","WHEAT",1,1
"KS","20113","CORN",1,1
"KS","20113","SORGHUM",1,1
"KS","20113","SOYBEANS",1,1
"KS","20113","WHEAT",1,1
"KS","20115","CORN",1,1
"KS","20115","SORGHUM",1,1
"KS","20115","SOYBEANS",1,1
"KS","20115","WHEAT",1,1
"KS","20121","CORN",1,1
"KS","20121","SORGHUM",1,1
"KS","20121","SOYBEANS",1,1
"KS","20121","WHEAT",1,NA
"KS","20123","CORN",1,1
"KS","20123","SORGHUM",1,1
"KS","20123","SOYBEANS",1,1
"KS","20123","WHEAT",1,1
"KS","20127","CORN",1,1
"KS","20127","SORGHUM",1,1
"KS","20127","SOYBEANS",1,1
"KS","20127","WHEAT",1,1
"KS","20133","CORN",1,1
"KS","20133","SORGHUM",1,1
"KS","20133","SOYBEANS",1,1
"KS","20133","WHEAT",1,NA
"KS","20139","CORN",1,1
"KS","20139","SORGHUM",1,1
"KS","20139","SOYBEANS",1,1
"KS","20139","WHEAT",1,NA
"KS","20141","CORN",1,1
"KS","20141","SORGHUM",1,1
"KS","20141","SOYBEANS",1,1
"KS","20141","WHEAT",1,1
"KS","20143","CORN",1,1
"KS","20143","SORGHUM",1,1
"KS","20143","SOYBEANS",1,1
"KS","20143","WHEAT",1,1
"KS","20145","CORN",1,1
"KS","20145","SORGHUM",1,1
"KS","20145","SOYBEANS",1,1
"KS","20145","WHEAT",1,1
"KS","20147","CORN",1,1
"KS","20147","SORGHUM",1,1
"KS","20147","SOYBEANS",1,1
"KS","20147","WHEAT",1,1
"KS","20155","CORN",1,1
"KS","20155","SORGHUM",1,1
"KS","20155","SOYBEANS",1,1
"KS","20155","WHEAT",1,1
"KS","20157","CORN",1,1
"KS","20157","SORGHUM",1,1
"KS","20157","SOYBEANS",1,1
"KS","20157","WHEAT",1,1
"KS","20159","CORN",1,1
"KS","20159","SORGHUM",1,1
"KS","20159","SOYBEANS",1,1
"KS","20159","WHEAT",1,1
"KS","20161","CORN",1,1
"KS","20161","SORGHUM",1,1
"KS","20161","SOYBEANS",1,1
"KS","20161","WHEAT",1,NA
"KS","20163","CORN",1,1
"KS","20163","SORGHUM",1,1
"KS","20163","SOYBEANS",1,1
"KS","20163","WHEAT",1,1
"KS","20169","CORN",1,1
"KS","20169","SORGHUM",1,1
"KS","20169","SOYBEANS",1,1
"KS","20169","WHEAT",1,1
"KS","20173","CORN",1,1
"KS","20173","SORGHUM",1,1
"KS","20173","SOYBEANS",1,1
"KS","20173","WHEAT",1,1
"KS","20175","CORN",1,1
"KS","20175","SORGHUM",1,1
"KS","20175","SOYBEANS",1,1
"KS","20175","WHEAT",1,1
"KS","20183","CORN",1,1
"KS","20183","SORGHUM",1,1
"KS","20183","SOYBEANS",1,1
"KS","20183","WHEAT",1,1
"KS","20189","CORN",1,1
"KS","20189","SORGHUM",1,1
"KS","20189","SOYBEANS",1,1
"KS","20189","WHEAT",1,1
"KS","20201","CORN",1,1
"KS","20201","SORGHUM",1,1
"KS","20201","SOYBEANS",1,1
"KS","20201","WHEAT",1,1
"KS","20207","CORN",1,1
"KS","20207","SORGHUM",1,1
"KS","20207","SOYBEANS",1,1
"KS","20207","WHEAT",1,1
"KY","21017","CORN",1,1
"KY","21017","SOYBEANS",1,1
"KY","21017","TOBACCO",1,NA
"KY","21017","WHEAT",1,NA
"KY","21027","CORN",1,1
"KY","21027","SOYBEANS",1,1
"KY","21027","TOBACCO",1,NA
"KY","21027","WHEAT",1,1
"KY","21033","CORN",1,1
"KY","21033","SOYBEANS",1,1
"KY","21033","TOBACCO",1,NA
"KY","21033","WHEAT",1,NA
"KY","21047","CORN",1,1
"KY","21047","SOYBEANS",1,1
"KY","21047","TOBACCO",1,NA
"KY","21047","WHEAT",1,NA
"KY","21059","CORN",1,1
"KY","21059","SOYBEANS",1,1
"KY","21059","TOBACCO",1,NA
"KY","21059","WHEAT",1,NA
"KY","21067","CORN",1,1
"KY","21067","SOYBEANS",1,1
"KY","21067","TOBACCO",1,NA
"KY","21067","WHEAT",1,1
"KY","21093","CORN",1,1
"KY","21093","SOYBEANS",1,1
"KY","21093","TOBACCO",1,NA
"KY","21093","WHEAT",1,NA
"KY","21101","CORN",1,1
"KY","21101","SOYBEANS",1,1
"KY","21101","TOBACCO",1,NA
"KY","21101","WHEAT",1,NA
"KY","21103","CORN",1,1
"KY","21103","SOYBEANS",1,1
"KY","21103","TOBACCO",1,NA
"KY","21103","WHEAT",1,NA
"KY","21123","CORN",1,1
"KY","21123","SOYBEANS",1,1
"KY","21123","TOBACCO",1,NA
"KY","21123","WHEAT",1,NA
"KY","21137","CORN",1,1
"KY","21137","SOYBEANS",1,1
"KY","21137","TOBACCO",1,NA
"KY","21137","WHEAT",1,NA
"KY","21141","CORN",1,1
"KY","21141","SOYBEANS",1,1
"KY","21141","TOBACCO",1,NA
"KY","21141","WHEAT",1,NA
"KY","21155","CORN",1,1
"KY","21155","SOYBEANS",1,1
"KY","21155","TOBACCO",1,NA
"KY","21155","WHEAT",1,NA
"KY","21163","CORN",1,1
"KY","21163","SOYBEANS",1,1
"KY","21163","TOBACCO",1,NA
"KY","21163","WHEAT",1,1
"KY","21179","CORN",1,1
"KY","21179","SOYBEANS",1,1
"KY","21179","TOBACCO",1,NA
"KY","21179","WHEAT",1,1
"KY","21199","CORN",1,1
"KY","21199","SOYBEANS",1,1
"KY","21199","TOBACCO",1,NA
"KY","21199","WHEAT",1,NA
"KY","21211","CORN",1,1
"KY","21211","SOYBEANS",1,1
"KY","21211","TOBACCO",1,NA
"KY","21211","WHEAT",1,NA
"KY","21219","CORN",1,1
"KY","21219","SOYBEANS",1,1
"KY","21219","TOBACCO",1,NA
"KY","21219","WHEAT",1,NA
"LA","22009","CORN",1,1
"LA","22009","COTTON",1,1
"LA","22009","SORGHUM",1,NA
"LA","22009","SOYBEANS",1,1
"LA","22025","CORN",1,1
"LA","22025","COTTON",1,1
"LA","22025","SORGHUM",1,1
"LA","22025","SOYBEANS",1,1
"LA","22029","CORN",1,1
"LA","22029","COTTON",1,1
"LA","22029","SORGHUM",1,NA
"LA","22029","SOYBEANS",1,1
"LA","22079","CORN",1,1
"LA","22079","COTTON",1,1
"LA","22079","SORGHUM",1,1
"LA","22079","SOYBEANS",1,1
"MI","26005","CORN",1,1
"MI","26005","OATS",1,1
"MI","26005","SOYBEANS",1,1
"MI","26005","WHEAT",1,NA
"MI","26007","CORN",1,1
"MI","26007","OATS",1,NA
"MI","26007","SOYBEANS",1,NA
"MI","26007","WHEAT",1,1
"MI","26011","CORN",1,NA
"MI","26011","SOYBEANS",1,1
"MI","26011","SUGARBEETS",1,NA
"MI","26011","WHEAT",1,NA
"MI","26017","CORN",1,NA
"MI","26017","SOYBEANS",1,1
"MI","26017","SUGARBEETS",1,NA
"MI","26017","WHEAT",1,NA
"MI","26051","CORN",1,1
"MI","26051","OATS",1,1
"MI","26051","SOYBEANS",1,1
"MI","26051","WHEAT",1,NA
"MI","26057","CORN",1,NA
"MI","26057","SOYBEANS",1,1
"MI","26057","SUGARBEETS",1,NA
"MI","26057","WHEAT",1,NA
"MI","26059","CORN",1,1
"MI","26059","OATS",1,NA
"MI","26059","SOYBEANS",1,1
"MI","26059","WHEAT",1,NA
"MI","26063","CORN",1,1
"MI","26063","OATS",1,NA
"MI","26063","SOYBEANS",1,1
"MI","26063","SUGARBEETS",1,NA
"MI","26067","CORN",1,NA
"MI","26067","OATS",1,1
"MI","26067","SOYBEANS",1,NA
"MI","26067","WHEAT",1,NA
"MI","26073","CORN",1,1
"MI","26073","OATS",1,1
"MI","26073","SOYBEANS",1,1
"MI","26073","WHEAT",1,NA
"MI","26075","CORN",1,1
"MI","26075","OATS",1,1
"MI","26075","SOYBEANS",1,1
"MI","26075","WHEAT",1,1
"MI","26081","CORN",1,NA
"MI","26081","OATS",1,1
"MI","26081","SOYBEANS",1,1
"MI","26081","WHEAT",1,NA
"MI","26105","CORN",1,NA
